16S,Cdiff,ratio,diet
0.06299,1.32692,21.06707,chow
1.56445,0.44988,0.38941,chow
1.42918,0.53092,15.96297,chow
1.24063,2.11436,0.63238,chow
1.59165,0.78807,36.941,chow
1.32085,0.60386,0.28756,chow
1.36921,1.02958,0.37148,chow
2.27486,0.88585,1.70426,chow
0.29749,4.74889,0.49512,chow
1.68423,1.06507,0.45717,chow
0.0184,0.67978,0.75196,chow
1.09991,0.05247,0.84794,WD
1.33461,0.47884,0.27893,WD
0.4664,0.0132,34.37377,WD
1.39342,0.02371,0.33876,WD
0.77246,0.93266,1.67893,WD
1.54769,0.37227,0.06233,WD
0.98965,16.03208,7.3622,WD
0.88594,0.47203,0.47126,WD
2.21135,1.2969,0.02373,WD
0.97912,0.09647,0.48905,WD
0.30157,7.28598,0.04376,WD
1.53148,0.41751,0.01548,WD
0.98742,0.24409,0.2472,LF/LF
0.59322,0.20012,0.33735,LF/LF
0.77178,0.12102,0.15681,LF/LF
0.92024,0.30624,0.33279,LF/LF
0.9007,0.30629,0.34005,LF/LF